isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector
INE299N01021,534618,WAAREERTL,,WAAREERTL,,Waaree Renewable Technologies,,WAAREERTL,d4a540f0-bbd7-46dd-a645-5a6c90e8d5d3,
INE299U01018,539876,CROMPTON,,CROMPTON,,Crompton Greaves,,CROMPTON,070dc964-9b70-4df3-bee5-edeb77be8499,
INE299W01022,541735,VIVANTA,,,,Vivanta Industries,,VIVANTA,518efd27-c6a0-4ae2-8f47-c3bd0909f51b,
INE300A01016,500166,GOODRICKE,,,,Goodricke Group,,GOODRICKE,547203a3-b0ce-4592-863d-3d8854f95380,
INE300B01022,509051,INDINFO,,,,Indian Infotech & Software,,INDINFO,ddb2b68b-e64b-478a-b4e0-a6abe95dcb24,
INE301A01014,500330,RAYMOND,,RAYMOND,,Raymond,,RAYMOND,6c091b79-3592-4cba-8d8f-7fb2a35e96f1,
INE301C01028,526409,KKALPANAIND,,,,Kkalpana Industries,,KKALPANAIND,f6e3682d-eded-4568-9827-f1a6a9a25cc7,
INE301D01026,503169,RUBYMILLS,,RUBYMILLS,,Ruby Mills,,RUBYMILLS,bc4f5fa1-5533-4a53-808f-4266bf0e5d6b,
INE302A01020,500086,EXIDEIND,,EXIDEIND,,Exide Industries,,EXIDEIND,5612253f-7d79-4abd-bb72-576b5ecd798f,
INE302C01018,530139,KREONFIN,,,,Kreon Finnancial Services,,KREONFIN,c17054a6-a43d-46d8-9134-fd1a71cc94e3,
INE302D01016,517035,RIR,,,,RIR Power Electronics,,RIR,f4672bf1-4216-4950-98d8-c29fca9bd4b4,
INE302E01014,511066,SAKTHIFIN,,,,Sakthi Finance,,SAKTHIFIN,9927689b-aa3d-40fc-8003-df628e3a8d6e,
INE302F01011,524748,LINKPH,,,,Link Pharma Chem,,LINKPH,0f8c15e0-1037-4703-83f5-8b45b66890e7,
INE302H01017,532744,GTNTEX,,,,GTN Textiles,,GTNTEX,e4d6b559-564a-4066-ac7c-6e33d3f07af6,
INE302R01024,542332,HIKLASS,,,,Hi-Klass Trading and Investment,,HIKLASS,81fee765-e181-41f5-b118-2b6897c9004a,
INE303A01010,500089,DICIND,,DICIND,,DIC India,,DICIND,984d9522-e1a9-4068-9b98-f76762c27cd2,
INE303R01014,543278,KALYANKJIL,,KALYANKJIL,,Kalyan Jewellers,,KALYANKJIL,0f1f24d2-26c7-4808-8fc1-9b432443cefd,
INE304A01026,500460,MUKANDLTD,,MUKANDLTD,,Mukand,,MUKANDLTD,36a91003-5c49-4ef0-ae27-c7d2f7d1fb26,
INE304D01012,521240,SAMBANDAM,,,,Sambandam Spinning Mills,,SAMBANDAM,8b09fbaf-d311-4fe9-b71d-de656887399a,
INE304E01010,511577,SAVFI,,,,Savani Financials,,SAVFI,42b2865b-d906-493f-9908-b6f11c7eced8,
INE305A01015,526650,TFCILTD,,TFCILTD,,Tourism Finance Corporation of India,,TFCILTD,dd79915a-8b74-4d57-b24b-8d8d0bb8767c,
INE305C01029,524820,PANAMAPET,,PANAMAPET,,Panama Petrochem,,PANAMAPET,4de55712-4ff8-4f34-9964-4223f3c76706,
INE305D01019,514412,SARUPINDUS,,,,Sarup Industries,,SARUPINDUS,53fded01-ce35-4eeb-a4a8-4bd6af4d2956,
INE306A01021,500032,BAJAJHIND,,BAJAJHIND,,Bajaj Hindusthan Sugar,,BAJAJHIND,2fae67f3-7985-4317-9141-ba79e980e7fd,
INE306C01019,532219,ENERGYDEV,,ENERGYDEV,,Energy Development Company,,ENERGYDEV,a3488270-64ee-40f1-a89d-48cb50cc5eaf,
INE306D01017,521178,SRMCL,,,,Sri Ramakrishna Mills,,SRMCL,5d69fe95-b808-47b6-856e-b9adc0478712,
INE306L01010,539678,QUICKHEAL,,QUICKHEAL,,Quick Heal Technologies,,QUICKHEAL,94882af4-cb16-49da-afa8-4293b0da9811,
INE306R01017,538835,INTELLECT,,INTELLECT,,Intellect Design Arena,,INTELLECT,ee743a00-7898-417c-8549-0715f1b16ce3,
INE307D01015,526231,STDSFAC,,,,Standard Surfactants,,STDSFAC,b3da5467-f808-4522-959d-889f02ea2826,
INE307N01014,512600,ASTALLTD,,,,Astal Laboratories,,ASTALLTD,a937ac7f-1cea-43b0-8554-0c3faf358e36,
INE308A01027,523391,NAHARPOLY,,NAHARPOLY,,Nahar Poly Films,,NAHARPOLY,d90c0f84-013d-4018-9719-2399b65a31d0,
INE308B01017,530909,ERPSOFT,,,,Erp Soft Systems,,ERPSOFT,4be40aca-1ed2-4f48-9744-7bdebfae7927,
INE308E01029,505590,SVPGLOB,,SVPGLOB,,SVP Global Ventures,,SVPGLOB,abe524c9-7440-4cdd-b2e1-cf1ab5262fc0,
INE308N01012,513498,SOUTHMG,,,,Southern Magnesium & Chemicals,,SOUTHMG,c9462595-a7e0-455e-95b8-52c91150aec2,
INE309B01023,532359,HITKITGLO,,,,Hit Kit Global Solutions,,HITKITGLO,9115b141-b289-4d78-bd58-49726b7fa7a1,
INE309D01011,511654,SUGALDAM,,,,Sugal & Damani Share Brokers,,SUGALDAM,54360c8d-5faa-4a8b-b912-a09c22f558d1,
INE309H01038,531025,VISAGAR,,,,Visagar Financial Services,,VISAGAR,bbe98a86-27ef-452b-b76e-c95feea2821d,
INE309M01020,514354,PREMIERPOL,,PREMIERPOL,,Premier Polyfilm,,PREMIERPOL,1ed954e7-edff-4b19-99bc-7a79cc8b0c62,
INE310A01015,523385,NILKAMAL,,NILKAMAL,,Nilkamal,,NILKAMAL,3b668f69-1412-4a67-9e63-6c58fd308b58,
INE310B01013,532329,DANLAW,,,,Danlaw Technologies,,DANLAW,bafd575a-65fc-4029-8665-10761d23d760,
INE310C01029,509635,HINDCOMPOS,,HINDCOMPOS,,Hindustan Composites,,HINDCOMPOS,c5c24f65-8d0e-49be-b74b-3a1c26c7139a,
INE311D01017,517201,SWITCHTE,,,,Switching Technologies Gunther,,SWITCHTE,b4124251-8c33-4497-ae04-ada807267ff2,
INE311H01018,532820,ELAND,,,,E Land Apparel,,ELAND,d62b2f4e-2a50-4209-bb1e-83b9c8e33f66,
INE311M01018,531771,SHRADDHA,,,,Shraddha Prime Projects,,SHRADDHA,f864dd23-968b-468d-9a84-a64809e9fbb8,
INE311N01016,532070,SUMUKA,,,,Sumuka Agro Industries,,SUMUKA,e8d8f078-3039-4b1c-9ca6-41ac5f0f5357,
INE312B01027,504398,SJCORP,,,,SJ Corporation,,SJCORP,31abe321-e7b7-44ba-ad16-8afaeff25584,
INE312C01025,524470,SYNCOMF,,SYNCOMF,,Syncom Formulations,,SYNCOMF,0aa289b9-d32c-4d3a-893a-d41ab23a0247,
INE312M01016,531910,MADHUVEER,,,,Madhuveer Com 18 Network,,MADHUVEER,69511245-9441-43f4-95a5-a2c21ee3e7aa,
INE313G01016,526971,DHOOTIN,,,,Dhoot Industrial Finance,,DHOOTIN,9f22b70e-d938-418e-9b02-f649a5dc33a9,
INE313M01030,524444,EVEXIA,,,,Evexia Lifecar,,EVEXIA,25ea75b1-3f2a-494d-9dba-1eff624d0785,
INE314C01013,521034,SOMATEX,,SOMATEX,,Soma Textiles & Industries,,SOMATEX,a0344554-fcc2-45e1-a6ef-74b1185f9ff6,
INE314D01011,524582,TIRUSTA,,,,Tirupati Starch & Chemicals,,TIRUSTA,7b76795a-95be-4831-bfc1-4112e7ae6979,
INE314G01014,513509,KALYANIFRG,,KALYANIFRG,,Kalyani Forge,,KALYANIFRG,b63189fb-ab0a-4834-aa1f-d13b0e85dfb6,
INE314H01012,501421,TECHNVISN,,,,TechNVision Ventures,,TECHNVISN,fd090d30-ace6-4bfe-bc31-76a2967e24e3,
INE314I01036,536565,NOVELIX,,,,Trimurthi,,NOVELIX,4ee89e3b-95ee-4437-840c-cf4c70a89ea6,
INE314N01028,503639,INDSOYA,,,,Indsoya,,INDSOYA,9e568f5d-4527-4d36-afbd-ede09163a1a8,
INE314T01025,539725,GOKULAGRO,,GOKULAGRO,,Gokul Agro Resources,,GOKULAGRO,67ef6427-1048-4acc-b9a4-92832b9bcfaa,
